0,1,2,3,4,5,6,7,8,9,10,Overs
79.1,79,78.6,77.7,75,67.9,51.6,26.7,8.6,1.8,0,39.3
79.4,79.3,79,78,75.3,68.1,51.7,26.7,8.6,1.8,0,39.4
79.7,79.6,79.3,78.3,75.6,68.3,51.9,26.7,8.6,1.8,0,39.5
,,,,,,,,,,,39.6
,,,,,,,,,,,39.7
,,,,,,,,,,,39.8
,,,,,,,,,,,39.9
80.1,80,79.6,78.6,75.9,68.6,52,26.7,8.6,1.8,0,40
80.4,80.3,79.9,79,76.2,68.8,52.1,26.8,8.6,1.8,0,40.1
80.7,80.6,80.3,79.3,76.5,69.1,52.3,26.8,8.6,1.8,0,40.2
81.1,80.9,80.6,79.6,76.8,69.3,52.4,26.8,8.6,1.8,0,40.3
81.4,81.3,80.9,79.9,77.1,69.6,52.5,26.8,8.6,1.8,0,40.4
81.7,81.6,81.3,80.2,77.4,69.8,52.6,26.8,8.6,1.8,0,40.5
,,,,,,,,,,,40.6
,,,,,,,,,,,40.7
,,,,,,,,,,,40.8
,,,,,,,,,,,40.9
82.1,81.9,81.6,80.6,77.7,70,52.8,26.9,8.6,1.8,0,41
82.4,82.3,81.9,80.9,78,70.3,52.9,26.9,8.6,1.8,0,41.1
82.7,82.6,82.2,81.2,78.3,70.5,53,26.9,8.6,1.8,0,41.2
83.1,82.9,82.6,81.5,78.6,70.7,53.1,26.9,8.6,1.8,0,41.3
83.4,83.3,82.9,81.8,78.9,71,53.3,26.9,8.6,1.8,0,41.4
83.7,83.6,83.2,82.2,79.2,71.2,53.4,27,8.6,1.8,0,41.5
,,,,,,,,,,,41.6
,,,,,,,,,,,41.7
,,,,,,,,,,,41.8
,,,,,,,,,,,41.9
84.1,83.9,83.6,82.5,79.5,71.5,53.5,27,8.6,1.8,0,42
84.4,84.3,83.9,82.8,79.8,71.7,53.6,27,8.6,1.8,0,42.1
84.7,84.6,84.2,83.1,80.1,71.9,53.8,27,8.6,1.8,0,42.2
85.1,84.9,84.5,83.4,80.4,72.2,53.9,27,8.6,1.8,0,42.3
85.4,85.3,84.9,83.8,80.7,72.4,54,27,8.6,1.8,0,42.4
85.7,85.6,85.2,84.1,81,72.6,54.1,27.1,8.6,1.8,0,42.5
